Year,Profession,Spearman Rho,p_Value,Number of MSAs
2017,Rehabilitation counselors,0.3290650406504065,0.002703628908404935,81
2017,Speech-language pathologists,-0.023761591503526986,0.7475089484332944,186
2017,Veterinarians,-0.09513466136976383,0.3273884945598393,108
2018,"Architects, except landscape and naval",-0.11466773015406573,0.3019601109341928,83
2018,Audiologists,0.14285714285714288,0.7871720116618075,6
2018,"Child, family, and school social workers",0.1469958221642638,0.031198290605155922,215
2018,Chiropractors,0.09999999999999999,0.7228973252791182,15
2018,"Dentists, general",0.4963297571993225,0.018799296027891214,22
2018,Dietitians and nutritionists,0.11303753717546823,0.1773510582521368,144
2018,"Educational, vocational, and school counselors",0.1336247399956042,0.03583044624658324,247
2018,Landscape architects,-0.2571428571428572,0.6227871720116618,6
2018,Lawyers,-0.32646599430352463,1.8844830357354487e-06,204
2018,Marriage and family therapists,0.04761904761904763,0.9108491685195836,8
2018,Medical and public health social workers,0.04831402072609356,0.4862005638049932,210
2018,Mental health and substance abuse social workers,0.20962596028714156,0.05716971258917452,83
2018,Occupational therapists,0.0892827770946089,0.229394160665986,183
2018,Optometrists,-0.10895721925133692,0.5461236876829099,33
2018,Pharmacists,0.32542409992164406,1.4031904943830235e-08,290
2018,Physical therapists,0.18130901952138745,0.0038787896979450625,252
2018,Podiatrists,0.10714285714285716,0.8191508555699912,7
2018,Rehabilitation counselors,0.3456639566395664,0.0015741462280785368,81
2018,Speech-language pathologists,0.00652434390574808,0.9295736358495101,186
2018,Veterinarians,-0.12992654834376519,0.1801760580905064,108
2019,"Architects, except landscape and naval",-0.1003526300323244,0.3666999167726793,83
2019,Audiologists,-0.028571428571428574,0.9571545189504373,6
2019,"Child, family, and school social workers",0.19039822260861164,0.005091585923247649,215
2019,Chiropractors,-0.14285714285714282,0.6115222287644655,15
2019,"Dentists, general",0.4669678147939018,0.028449501046477806,22
2019,Dietitians and nutritionists,0.13689012137288,0.10182365325038664,144
2019,"Educational, vocational, and school counselors",0.11417816313464166,0.07325953328291467,247
2019,Landscape architects,-0.2571428571428572,0.6227871720116618,6
2019,Lawyers,-0.32324317447752865,2.4090573557299344e-06,204
2019,Marriage and family therapists,-0.2142857142857143,0.6103444156452669,8
2019,Medical and public health social workers,0.09958826406818425,0.15039583599417067,210
2019,Mental health and substance abuse social workers,0.12474287393476345,0.2611734730865047,83
2019,Occupational therapists,0.06827598630877321,0.358428424480436,183
2019,Optometrists,-0.2847593582887701,0.10823051408866677,33
2019,Pharmacists,0.3098301632189648,7.182025333245624e-08,290
2019,Physical therapists,0.13456882052066532,0.032735287867831094,252
2019,Podiatrists,0.3214285714285715,0.4820720382996776,7
2019,Rehabilitation counselors,0.29751580849141823,0.0069883805115765205,81
2019,Speech-language pathologists,-0.00199823767186196,0.9784049882319024,186
2019,Veterinarians,-0.09225756666380863,0.3422954155602693,108
2021,"Architects, except landscape and naval",0.006695772637588682,0.9520943674938793,83
2021,Audiologists,-0.4285714285714286,0.3965014577259474,6
2021,"Child, family, and school social workers",0.15652998140500854,0.021677522752992062,215
2021,Chiropractors,0.039285714285714285,0.8894459296739485,15
2021,"Dentists, general",0.5369847543760589,0.009969419900431743,22
2021,Dietitians and nutritionists,0.1083073188523564,0.1962999570954868,144
2021,"Educational, vocational, and school counselors",0.18795172279788616,0.003023071778163722,247
2021,Landscape architects,-0.7142857142857143,0.1107871720116617,6
2021,Lawyers,-0.22621368143556836,0.0011403227612333863,204
2021,Marriage and family therapists,0.1666666666666667,0.693238811728395,8
2021,Medical and public health social workers,-0.03691240164176059,0.5947951969252872,210
2021,Mental health and substance abuse social workers,0.12423911674572855,0.26311936715887807,83
2021,Occupational therapists,0.04319239541269787,0.5615348560163647,183
2021,Optometrists,-0.002005347593582888,0.9911630914606229,33
2021,Pharmacists,0.18558700604842823,0.0015014425492425737,290
2021,Physical therapists,0.055665547046812244,0.37888510513060036,252
2021,Podiatrists,-0.03571428571428572,0.9394082054712856,7
2021,Rehabilitation counselors,0.28394308943089436,0.01020292653802933,81
2021,Speech-language pathologists,0.0036095091123554118,0.9610026193236578,186
2021,Veterinarians,-0.12286718683014661,0.20521919415253898,108
2022,"Architects, except landscape and naval",-0.015385584148440452,0.890199535488758,83
2022,Audiologists,-0.3714285714285715,0.46847813411078715,6
2022,"Child, family, and school social workers",0.11213866550749838,0.10103290651530142,215
2022,Chiropractors,-0.035714285714285705,0.8994469934720875,15
2022,"Dentists, general",0.5787690570299266,0.004771352500069301,22
2022,Dietitians and nutritionists,0.17287999356964873,0.03825536618468055,144
2022,"Educational, vocational, and school counselors",0.17367576934225656,0.006209462781007001,247
2022,Landscape architects,-0.14285714285714288,0.7871720116618075,6
2022,Lawyers,-0.27822971072365027,5.5932149830133834e-05,204
2022,Marriage and family therapists,0.07142857142857144,0.8665262706759088,8
2022,Medical and public health social workers,0.04952428464526244,0.475332541110836,210
2022,Mental health and substance abuse social workers,0.20376978296461104,0.06464364612911462,83
2022,Occupational therapists,0.02805996569360789,0.7061279433785844,183
2022,Optometrists,0.17179144385026737,0.3390989605625021,33
2022,Pharmacists,0.2637268637824633,5.2996636412589684e-06,290
2022,Physical therapists,0.08385655570827927,0.1845412378491771,252
2022,Podiatrists,-0.642857142857143,0.11939237342741094,7
2022,Rehabilitation counselors,0.4701219512195122,9.500098161845101e-06,81
2022,Speech-language pathologists,-0.017131880888996635,0.8164683843888055,186
2022,Veterinarians,-0.1629369230329532,0.09201444025231804,108
2023,"Architects, except landscape and naval",-0.05980017631501615,0.59125091135496,83
2023,Audiologists,-0.3714285714285715,0.46847813411078715,6
2023,"Child, family, and school social workers",0.21634789538506125,0.001414502040784319,215
2023,Chiropractors,-0.10357142857142855,0.7133796306287292,15
2023,"Dentists, general",0.3314511575381141,0.13184479008712222,22
2023,Dietitians and nutritionists,0.15028534683707098,0.07218777358875325,144
2023,"Educational, vocational, and school counselors",0.1194156789419533,0.06093653158588207,247
2023,Landscape architects,0.2571428571428572,0.6227871720116618,6
2023,Lawyers,-0.33806249160724,7.606493961982291e-07,204
2023,Marriage and family therapists,0.261904761904762,0.530922861565801,8
2023,Medical and public health social workers,0.0785783934199998,0.25693456683545896,210
2023,Mental health and substance abuse social workers,0.2726375886822551,0.012645112269121168,83
2023,Occupational therapists,-0.006714418866949161,0.9281206546177877,183
2023,Optometrists,0.27840909090909094,0.11667795764270027,33
2023,Pharmacists,0.2834523843204499,9.239341250297568e-07,290
2023,Physical therapists,0.14980244652858546,0.017328592849234305,252
2023,Podiatrists,-0.21428571428571433,0.6445115810207203,7
2023,Rehabilitation counselors,0.3789521228545618,0.0004854944575452836,81
2023,Speech-language pathologists,-0.031144720708288068,0.6730276868659555,186
2023,Veterinarians,-0.18018996446502233,0.06202675003109536,108
2024,"Architects, except landscape and naval",-0.19470215356198312,0.07775859231157445,83
2024,Audiologists,-0.6,0.20799999999999982,6
2024,"Child, family, and school social workers",0.16509092226327607,0.015382441240058829,215
2024,Chiropractors,-0.37499999999999994,0.16843274984674558,15
2024,"Dentists, general",0.3675889328063242,0.0923715687441698,22
2024,Dietitians and nutritionists,0.14689735551804517,0.07892648381151007,144
2024,"Educational, vocational, and school counselors",0.08904652844360492,0.1629705735491936,247
2024,Landscape architects,0.2,0.704,6
2024,Lawyers,-0.3972280922461499,4.04046205089709e-09,204
2024,Marriage and family therapists,0.30952380952380953,0.4556448907375822,8
2024,Medical and public health social workers,0.04940895971078061,0.476362408164861,210
2024,Mental health and substance abuse social workers,0.3302758070609966,0.0022931310693396724,83
2024,Occupational therapists,-0.06846200841211533,0.35711734123651473,183
2024,Optometrists,0.07987967914438504,0.6585704668475065,33
2024,Pharmacists,0.27064924713115207,2.915883886584573e-06,290
2024,Physical therapists,0.11676315943888112,0.06421594253744244,252
2024,Podiatrists,-0.21428571428571433,0.6445115810207203,7
2024,Rehabilitation counselors,0.4114046973803071,0.00013590611437273826,81
2024,Speech-language pathologists,-0.06657777321913944,0.36658909348777013,186
2024,Veterinarians,-0.19839568626330178,0.039560888400647906,108
